iter	Logloss
201	4.397892282e-06
202	4.367065798e-06
203	4.352214537e-06
204	4.312723792e-06
205	4.286330303e-06
206	4.260080067e-06
207	4.229189303e-06
208	4.202280215e-06
209	4.178389454e-06
210	4.155841207e-06
211	4.141265432e-06
212	4.123202158e-06
213	4.103370701e-06
214	4.076382567e-06
215	4.049258388e-06
216	4.034192317e-06
217	4.018044062e-06
218	4.00190104e-06
219	3.988363776e-06
220	3.97065588e-06
221	3.950945166e-06
222	3.939292054e-06
223	3.919894711e-06
224	3.901721589e-06
225	3.888517652e-06
226	3.874174751e-06
227	3.864965659e-06
228	3.849389834e-06
229	3.829265408e-06
230	3.806770038e-06
231	3.793008516e-06
232	3.785176027e-06
233	3.776401244e-06
234	3.75259346e-06
235	3.743410416e-06
236	3.724044081e-06
237	3.711596407e-06
238	3.6987548e-06
239	3.687481528e-06
240	3.664783537e-06
241	3.643267517e-06
242	3.631260522e-06
243	3.622433285e-06
244	3.609736287e-06
245	3.596890561e-06
246	3.579605797e-06
247	3.567387695e-06
248	3.557541727e-06
249	3.548242351e-06
250	3.537646822e-06
251	3.529929577e-06
252	3.521407963e-06
253	3.513747246e-06
254	3.506775812e-06
255	3.497359211e-06
256	3.482567536e-06
257	3.473056065e-06
258	3.467505016e-06
259	3.457727187e-06
260	3.44760993e-06
261	3.440038251e-06
262	3.432353105e-06
263	3.426798767e-06
264	3.419634174e-06
265	3.412238695e-06
266	3.402863518e-06
267	3.393641396e-06
268	3.387325194e-06
269	3.381817734e-06
270	3.377004572e-06
271	3.368518106e-06
272	3.363272095e-06
273	3.358589434e-06
274	3.354230642e-06
275	3.347444982e-06
276	3.343058335e-06
277	3.337906635e-06
278	3.332830681e-06
279	3.325263356e-06
280	3.320598033e-06
281	3.316548905e-06
282	3.30994777e-06
283	3.30462007e-06
284	3.30021441e-06
285	3.29592109e-06
286	3.292085628e-06
287	3.287733923e-06
288	3.282718114e-06
289	3.278397605e-06
290	3.273884325e-06
291	3.269798903e-06
292	3.265342831e-06
293	3.260201736e-06
294	3.255461891e-06
295	3.250594801e-06
296	3.246700519e-06
297	3.242954158e-06
298	3.239068351e-06
299	3.234945941e-06
300	3.230890425e-06
301	3.225795992e-06
302	3.222229353e-06
303	3.217055838e-06
304	3.213342686e-06
305	3.209503909e-06
306	3.205841444e-06
307	3.200832022e-06
308	3.197141869e-06
309	3.19343551e-06
310	3.189622033e-06
311	3.185472017e-06
312	3.180950843e-06
313	3.177117043e-06
314	3.173489598e-06
315	3.17065726e-06
316	3.168105413e-06
317	3.164388722e-06
318	3.160693788e-06
319	3.156793788e-06
320	3.153433497e-06
321	3.149773929e-06
322	3.146127943e-06
323	3.138749143e-06
324	3.134554645e-06
325	3.130141318e-06
326	3.12596544e-06
327	3.121949083e-06
328	3.118655347e-06
329	3.115264729e-06
330	3.10866605e-06
331	3.105313919e-06
332	3.098466478e-06
333	3.094939459e-06
334	3.09150177e-06
335	3.087803615e-06
336	3.084174657e-06
337	3.080678449e-06
338	3.07547002e-06
339	3.072218523e-06
340	3.068726747e-06
341	3.065341839e-06
342	3.061905726e-06
343	3.058550628e-06
344	3.053098707e-06
345	3.049943498e-06
346	3.044793994e-06
347	3.041655138e-06
348	3.035844263e-06
349	3.032603506e-06
350	3.027684388e-06
351	3.02415592e-06
352	3.019044238e-06
353	3.015568155e-06
354	3.011975004e-06
355	3.0071226e-06
356	3.003686421e-06
357	3.000409589e-06
358	2.995020005e-06
359	2.990085699e-06
360	2.985182882e-06
361	2.979506895e-06
362	2.974768757e-06
363	2.971467642e-06
364	2.966401526e-06
365	2.961880316e-06
366	2.957240084e-06
367	2.954144185e-06
368	2.951053754e-06
369	2.947778019e-06
370	2.944450569e-06
371	2.941387296e-06
372	2.938004277e-06
373	2.932630608e-06
374	2.929604038e-06
375	2.925045442e-06
376	2.921713724e-06
377	2.91872524e-06
378	2.915627607e-06
379	2.910377476e-06
380	2.906107388e-06
381	2.901914095e-06
382	2.898993939e-06
383	2.894707898e-06
384	2.891812935e-06
385	2.887567662e-06
386	2.882491571e-06
387	2.878298647e-06
388	2.875506113e-06
389	2.870871959e-06
390	2.866743544e-06
391	2.862843195e-06
392	2.860055961e-06
393	2.855988972e-06
394	2.851470879e-06
395	2.846611632e-06
396	2.842818051e-06
397	2.838375423e-06
398	2.834440849e-06
399	2.830515037e-06
400	2.826674821e-06
401	2.822328323e-06
402	2.818004644e-06
403	2.814118945e-06
404	2.8094792e-06
405	2.80690447e-06
406	2.803316463e-06
407	2.799555801e-06
408	2.794998285e-06
409	2.79046551e-06
410	2.785957248e-06
411	2.782282373e-06
412	2.777819667e-06
413	2.773380693e-06
414	2.769583146e-06
415	2.765197754e-06
416	2.76181056e-06
417	2.75937561e-06
418	2.756016782e-06
419	2.752674714e-06
420	2.748373058e-06
421	2.744897648e-06
422	2.742511956e-06
423	2.738263599e-06
424	2.735004714e-06
425	2.73158092e-06
426	2.727391438e-06
427	2.724003948e-06
428	2.720813379e-06
429	2.717639237e-06
430	2.714481371e-06
431	2.711159955e-06
432	2.707788655e-06
433	2.703726763e-06
434	2.699685079e-06
435	2.69660882e-06
436	2.693547967e-06
437	2.690502381e-06
438	2.68652942e-06
439	2.682576015e-06
440	2.678641876e-06
441	2.674726842e-06
442	2.671394712e-06
443	2.667515286e-06
444	2.66365438e-06
445	2.660497121e-06
446	2.65667079e-06
447	2.65354448e-06
448	2.650307834e-06
449	2.646531252e-06
450	2.643577838e-06
451	2.640572529e-06
452	2.636852157e-06
453	2.634043528e-06
454	2.630346298e-06
455	2.627336091e-06
456	2.624401026e-06
457	2.620750187e-06
458	2.617842961e-06
459	2.614948905e-06
460	2.611351575e-06
461	2.608484682e-06
462	2.605446613e-06
463	2.602605298e-06
464	2.599058061e-06
465	2.596181646e-06
466	2.593378913e-06
467	2.589874651e-06
468	2.587257541e-06
469	2.58449209e-06
470	2.581029023e-06
471	2.578288678e-06
472	2.575560187e-06
473	2.572138177e-06
474	2.568730985e-06
475	2.565338751e-06
476	2.561961238e-06
477	2.559234021e-06
478	2.555883529e-06
479	2.552547444e-06
480	2.549916786e-06
481	2.547236679e-06
482	2.543939021e-06
483	2.540663376e-06
484	2.537917277e-06
485	2.535343133e-06
486	2.532097153e-06
487	2.529694254e-06
488	2.526472665e-06
489	2.523765988e-06
490	2.520577402e-06
491	2.517394125e-06
492	2.514837041e-06
493	2.512349054e-06
494	2.5098234e-06
495	2.506686198e-06
496	2.504170524e-06
497	2.501722772e-06
498	2.498620017e-06
499	2.496192592e-06
